ID,score,name,officialName,cityName,districtName,address
668231,9.7,DEVER,DEVER TEDARİK HİZMETLERİ VE DANIŞMANLIK TİCARET LİMİTED ŞİRKETİ,İstanbul,Esenler,Mahalle/Semt:BİRLİK MAH. Cadde/Sokak:837. SK. DOBI AP No:16 İç Kapı No:6
638264,9.8,MABES Pazarlama,ŞÜKRÜ TUNÇ,Elazığ,Merkez,Abdullahpaşa Mah. 252 .Sok. Nurullah Camii Pasajı No:1/A Elazığ/merkez
901032,9.2,AYF TEKNOLOJİ,ABDULLAH ALPASLAN,Adana,Seyhan,"Karasoku mahallesi Karasoku sokak no28 mısır çarşısı Baraj
 döviz arası"
313585,9.5,SANDALBİLİŞİM,SANDAL BİLİŞİM TAŞIMACILIK İNŞAAT GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ,Van,İpekyolu,mareşal fevzi çakmak caddesi özok kültür apartmanı b blok kat 4 no 7 ipekyolu van
581644,9.7,RUGHOUSE,ŞEKİP ÖZDEMİR,Amasya,Merzifon,HARMANLAR MAH. KARA MUSTAFA PAŞA CAD. No:46/A
509602,9.5,SAREMİNE HOME,EMİNE SAK,Burdur,Bucak,Mahalle/Semt:YENİ MAH. Cadde/Sokak:SÜLEYMAN DEMİREL BLV. No:103 İç Kapı No:2
763942,9.2,AVT ONLİNE,ATA VOLKAN TELYAKAN,Ankara,Yenimahalle,yeni batı mahallesi  veysel karani bulvarı no:5/S nargülü-1 sitesi 
766824,9.6,Peeq,YUSUF TARIK ORTAKAYA,Ankara,Yenimahalle,"İvedikköy Mahallesi, 1492. Sk No:11 D:1.Kat, 06378 İvedik Osb/Yenimahalle/Ankara"
886953,9.8,KLC Lions,YAREN KILIÇARSLAN,Adana,Sarıçam,Mahalle/Semt:MEHMET AKİF ERSOY MAH. Cadde/Sokak:232 SK. No:1 C kat.8 iç Kapı No:25
781040,9.8,MF Dizayn,MURAT ATLAN,Ordu,Altınordu,yeni mahalle kahraman sağra cad. no:92 b altınordu/ordu
909756,9.3,FF HOME,MURAT BÜYÜKKARAKURT,Konya,Selçuklu,Mahalle/Semt:ŞEKER MAH. Cadde/Sokak:TAŞOVA SK. No:5 İç Kapı No:5
819642,9.3,FTM STORE,RAMAZAN DURAK,Adana,Seyhan,alidede mah karasoku sk no 39 baraj döviz üstü
298152,9.5,donvito,EBUBEKİR HAKAN UYANIK,Ankara,Çankaya,"prof.dr.ahmet taner kışlalı mahallesi,2866.cadde,no:29-e"
238381,10.0,Gİ-STORE,İBRAHİM HAKKI AKGÜL,İstanbul,Eyüpsultan,SAKARYA MAHALLESİ İKİKÖŞELİ SOKAK NO:16 D:5
694382,9.0,BA Grup,BİROL ARSLAN,Ankara,Polatlı,Mahalle/Semt:İSTİKLAL MAH. Cadde/Sokak:MEHMET EMİN YURDAKUL CADDESİ 1/1 NO:66 KARTALTEPE AVM
365957,9.4,Ergen Teknoloji,ZAFER ERGEN,İstanbul,Bakırköy,Hamam Sokak No : 38 / b  
705122,8.8,COLLECTIONER,AHMET ÖRS İLETİŞİM HİZMETLERİ LİMİTED ŞİRKETİ,İstanbul,Beyoğlu,Mahalle/Semt:HACIAHMET MAH. Cadde/Sokak:YAHYA KÖPRÜSÜ SK. No:1 İç Kapı No:11
391109,9.5,BSlina,FUAT GÜLER,İstanbul,Çekmeköy,CUMHURİYET MAH ŞADIRVAN SOK TERAS ÇEKMEKÖY SİT L BLOK KAT:3 D:16
927277,9.1,ATLAS HOUSE-TECH,MAHMUT KARATAŞ,Adıyaman,Merkez,Mahalle/Semt:SÜMEREVLER MAH. Cadde/Sokak:TURGUT ÖZAL CAD. GÖRKEM YAPI KOOPERATIFI   A  1 BLOK No:52 A1 İç Kapı No:8
380704,9.2,UYGUNALSAN,MODEL MOBİLYA GALERİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,Ankara,Keçiören,"UFUKTEPE MAHALLESİ OSMANGAZİ CADDESİ NO:39/A 
 KEÇİÖREN/ANKARA"
877103,9.6,KORKMAZ HOME,ERSİN KORKMAZ,Kırklareli,Lüleburgaz,gündoğu mahallesi soğukkuyu sokak no:51
867842,9.8,ZerTech,ZEHRA YILDIRIM GÜNEL,Ankara,Keçiören,Mahalle/Semt:KAFKAS MAH. Cadde/Sokak:ŞEHİT HÜSEYİN KELEŞ CAD. No:29 B İç Kapı No:24
307135,9.2,Bin Pazarı,METİN ÇANDUR,Elazığ,Merkez,KÜLTÜR MAHALLESİ FERAH SOKAK NO:2C ELAZIĞ/MERKEZ
770898,8.5,anneoyuncak,FEYZA İÇTEN,Ankara,Yenimahalle,Mahalle/Semt:YEŞİLEVLER MAH. Cadde/Sokak:929 CAD. YILDIRIM APT. No:9 İç Kapı No:A
935656,,beyoğlu awm,ALEF E-TİCARET GIDA İNŞAAT LİMİTED ŞİRKETİ,İstanbul,Sultangazi,50. yıl mahallesi A caddesi no:61/A
863829,9.2,Elf Technology,TOLGAHAN TAHTADELEN,Ankara,Keçiören,Mahalle/Semt:ŞEHİT KUBİLAY MAH. Cadde/Sokak:1697 CAD. No:3 İç Kapı No:2
640802,8.9,EYMEN STORE 01,ÇİĞDEM SEKİN,Adana,Seyhan,ALİDEDE MH KARASOKU SK N0 39 MERKEZ SEYHAN ADANA
727277,9.5,3E TEKNO,ÇİĞDEM ÇETİN,Gaziantep,Şahinbey,Karataş MH. 103423 nolu SK Selma apt altı no9b 
791198,7.7,BARIŞ EV ALETLERİ,BARIŞ KAÇAN,Diyarbakır,Yenişehir,Mahalle/Semt:KOOPERATİFLER MAH. Cadde/Sokak:AKKOYUNLU/1.GEÇİT SK. İPEK APT. No:10 E
867998,9.2,NMA TEKNOLOJİ,NEF DİJİTAL DAYANIKLI TÜKETİM ÜRÜNLERİ TİCARET LİMİTED ŞİRKETİ,Ankara,Keçiören,Mahalle/Semt:19 MAYIS MAH. Cadde/Sokak:FOÇA SK. ŞAHİN Apt. No:13 İç Kapı No:12
500290,9.2,birlikteyiz,ARDA BİRLİK,Ankara,Yenimahalle,"Mahalle/Semt:KENTKOOP MAH
Cadde/Sokak:1844. CAD. No:19/8 ÖZPETEK 7 SİTESİ 8.BLOK K.3 D.5 BATIKENT YENİMAHALE ANKARA"
896392,,TURNAM HOME,HAZAR TURNA,Kütahya,Merkez,Mahalle/Semt:75. YIL MAH. Cadde/Sokak:ŞEHİT ASB. BURHAN BAYKAL SK. MENEKŞE APT No:1 İç Kapı No:22
696375,8.6,Esram Home,ESRA LAÇİNOK,Ankara,Altındağ,Mahalle/Semt:KARAPÜRÇEK MAH. Cadde/Sokak:473 CAD. GÜL No:10 İç Kapı No:14
131724,8.4,Carismen,HASAN GÜLER,Kırklareli,Lüleburgaz,Istanbul caddesi batu pasaji no z17 umut giyim Luleburgaz/ KIRKLARELİ Lüleburgaz 39770 Kırklareli Türkiye
119576,8.6,Weynes,VEYSİ BAYRAM,Batman,Merkez,çarşı mah 710 sok no 37
619779,9.5,Morina Ayakkabı ve Çanta,MORİNA AYAKKABI TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Ankara,Çankaya,Mahalle/Semt:CUMHURİYET MAH/SEMT Cadde/Sokak:ZİYA GÖKALP CAD. No:3 İç Kapı No:2
470825,8.8,IRSHI COSMETICS,MY DAHLIA KOZMETİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,Ankara,Çankaya,"Ümit Mahallesi 2540. Sokak No:8 Evren Apartmanı Giriş Kat Daire:1, Çankaya/ANKARA"
302568,9.0,AYNSHOES,FAHRİ AYAN,İstanbul,Avcılar,mustafa kemal paşa mah istiklal cad no 79/a coon-for ayakkab
298,8.2,Panço,PANÇO GİYİM SANAYİ VE TİCARET ANONİM ŞİRKETİ,İstanbul,Büyükçekmece,"Çatalca Yolu Cad. No:601 
"
104736,8.8,Mac,ELCA KOZMETİK LİMİTED ŞİRKETİ,İstanbul,Tuzla,Arvato - Orhanlı Orta Mah. Atayolu Caddesi. Öztaş Sokak. No:4/1 Tuzla - İstanbul 
211217,9.7,HCM İLETİŞİM İNŞAAT SAN TİC VE A.Ş,HCM İLETİŞİM İNŞAAT SANAYİ TİCARET ANONİM ŞİRKETİ,İstanbul,Ataşehir,SEHİT CAHAR DUDAYEV CD NO 113B
168061,9.4,Proteinocean,PROTEİNOCEAN GIDA ANONİM ŞİRKETİ,Ankara,Yenimahalle,OSTİM OSB MAH. 1268 CADDE NO:11
706692,8.6,DEPO SS TEKNOLOJİ,HİLAL SEVEN,Samsun,İlkadım,Kale mah. Kaptanağa sokak ortaklar iş merkezi no:1 iç kapi no:3 ilkadim/samsun
110032,9.6,KimSatar,BOĞAZİÇİ TEKNOLOJİK ÜRÜNLER VE İLETİŞİM SİSTEMLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,İstanbul,Kağıthane,"Merkez Mh. Ayazma Cd. Papirüs Plaza No:37 Kat:9 Ofis:151
Kağıthane / İstanbul"
477060,9.0,AkTeknoloji,ORHAN AKGÜN,Kütahya,Gediz,Mahalle:ÖZYURT MAH. Cadde/Sokak:161 SK. Daire No: Kapı No:13
693000,8.8,CepTe Tekiz,SERDAR ÇİFTÇİOĞLU,Mersin,Akdeniz,Mahalle/Semt:MAHMUDİYE MAH. Cadde/Sokak:KUVAİ MİLLİYE CAD. METROPOL İŞ MRK. GÖKDELEN IŞ MERKEZI No:105 /2 İç Kapı No:Z53-
934008,9.4,BONUS İLETİSİM,ŞERİF TAVLAR,Adana,Seyhan,Mahalle/Semt:KURUKÖPRÜ MAH. Cadde/Sokak:ÇAKMAK CAD. ÇAKMAK PLAZA No:37 İç Kapı No:107
109145,8.8,Getcho,BORDEGO ELEKTRONİK TİCARET VE PAZARLAMA LİMİTED ŞİRKETİ,İstanbul,Ataşehir,Küçükbakkalköy Mah. ŞerifAli Cad. No:22 Ataşehir İstanbul
653801,9.3,FarmaCom,FİTOMAR DOĞAL ÜRÜNLER GIDA SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ,İstanbul,Bağcılar,Mahalle/Semt:MAHMUTBEY MAH. Cadde/Sokak:2437. SK. No:135
631733,8.8,Ay Sağlık,ALİ İHSAN GÜNEŞ,Ankara,Altındağ,feridun çelik 1701 cadde 3/19
128490,9.4,ebitkisel,SALİH YILDIRIM,Ankara,Yenimahalle,Avcılar Mahallesi 1009. Cadde No: 36/A
468921,8.9,ŞiFAKAPİNDA,FİTOMAR DOĞAL ÜRÜNLER GIDA SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ,İstanbul,Bağcılar,MAHMUTBEY MH. 2437 SOK NO : 135 BAĞCILAR /İSTANBUL
255802,9.5,Sağ Salim Şifa Market,GÜZİDE ZEYNEP KOÇAK,Isparta,Merkez,Pirimehmet mah. 1739 sok. no:1 /C (Cennet kuruyemiş)
193957,9.4,Natural Pazar,ASUDE DOĞAL ÜRÜNLER ORMANCILIK GIDA HAYVANCILIK KUYUMCULUK SANAYİ TİCARET LİMİTED ŞİRKETİ,Ordu,Altınordu,Şahincili Mahallesi 80. yıl Cumhuriyet caddesi no:31/1 52200
112692,9.9,Nil Baharat,NİL BAHARAT GIDA DOĞAL ÜRÜNLER İTHALAT İHRACAT SANAYİ TİCARET LİMİTED ŞİRKETİ,Ankara,Yenimahalle,Macun Mh. 187.cd. Türeli İş Merkezi No: 54/47
120268,9.2,aradığınürün,ÖKKEŞ GÜNEŞ,Gaziantep,Şahinbey,Yeditepe mahallesi 85121 nolu sokak Ceren sitesi A blok kat no 6 Şahinbey Gaziantep
114548,8.8,sk akdenizstore,SEDAT KAYA,Antalya,Muratpaşa,"HASIMISCAN MAH.ARIK CAD.66/B KURULTAY APT.ALTI
"
654852,8.4,YENİLİĞİ AŞKLA TASARLA,BÜŞRA SAVAŞÇIOĞLU,Kilis,Merkez,Mahalle/Semt:NECMETTİN ERBAKAN MAH. Cadde/Sokak:SABİT ERENTÜRK CAD. No:3 B
601705,9.9,Tunalı Baharat,ALİ KIZILAY,Ankara,Çankaya,Mahalle/Semt:REMZİ OĞUZ ARIK MAH. Cadde/Sokak:TUNALI HİLMİ CAD.  SEĞMENLER PASAJI No:96 İç Kapı No:27
106321,8.9,İnsis Bilişim,İNSİS BİLİŞİM VE TEKNOLOJİ HİZMETLERİ ANONİM ŞİRKETİ,İstanbul,Fatih,Hobyar Mahallesi Hamidiye Caddesi No:8 Kat: 3/305 Sirkeci Fatih- İstanbul
153143,8.2,HarikaFiyat,SERTAÇ AYAZ,İstanbul,Küçükçekmece,İstasyon Mah. Kömürcü Yolu Cad. 1433 Sok. No:21/A HarikaFiyat
243348,9.5,stokburada,BEYAZID YILDIRIM,İstanbul,Sultangazi,50.yıl mahallesi b caddesi 2012 sokak no:13 daire : 6 sultangazi/istanbul
157421,8.8,e-babil elektronik,BİRSEN BOZYEL,İstanbul,Küçükçekmece,gültepe mah. 2.cami sk no : 27 daire : 11
338941,8.8,hanibu,BAKİ ULAŞ,Isparta,Yalvaç,ÇARŞI MAH. NO:3 YALVAÇ/ISPARTA
252467,9.4,FırsatKurdu,MATRİS TEKNOLOJİ ÜRÜNLERİ VE ELEKTRONİK LİMİTED ŞİRKETİ,İstanbul,Beyoğlu,KEMANKEŞ KARAMUSTAFAPAŞA MAH. NECATİBEY CAD. ALARKO İŞ MERKEZİ APT. N: 66/4 BEYOĞLU
434240,9.5,Nothing Türkiye,RESET TELEKOMÜNİKASYON VE İLETİŞİM HİZMETLERİ LİMİTED ŞİRKETİ,İstanbul,Sarıyer,Ağaoğlu Maslak 1453 İstanbul Toplu yapısı Maslak Mah. Taşyoncası Sok. Dış Kapı No:20 F1 Blok-1 C Etap 9 No Sarıyer/İstanbul
677575,8.7,Modaayka,ŞEREF AYCI,Kayseri,Melikgazi,Mahalle/Semt:ESENYURT MAH. Cadde/Sokak:HANGAR CAD. SAFA APT No:12 İç Kapı No:7
666925,9.1,MACKROCK SPORTS,ÇETİN MELİYE,İstanbul,Pendik,mackrock sports ayakkabı Mahalle/Semt:ŞEYHLİ MAH. Cadde/Sokak:ÜSTÜN CAD. No:79 A
112044,8.0,Pull&Bear,ITX TURKEY PERAKENDE İTHALAT İHRACAT VE TİCARET LİMİTED ŞİRKETİ,İstanbul,Arnavutköy,"Ömerli Mah., Hadımköy-İstanbul Cd. 260-262"
243130,9.4,YMZ İLETİŞİM,YMZ İLETİŞİM ELEKTRONİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Gaziantep,Şahinbey,ALAYBEY MAH.ESKİSARAY CAD NO:11 ŞAHİNBEY/GAZİANTEP
104683,9.3,Nethouse,NETHOUSE BİLGİSAYAR SİSTEMLERİ PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İstanbul,Başakşehir,"İkitelli Organize Sanayi Bölgesi, Atatürk Bulvarı, Deposite İş Merkezi, A1 Blok, No:102, Başakşehir/İstanbul"
106540,9.1,Vipfiyat,PI ELEKTRONİK BİLGİSAYAR PROMOSYON VE TASARIM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İstanbul,Fatih,"Hobyar mah Hamidiye cad Doğubank iş hanı kat :3 d:345
eminönü/istanbul/fatih"
107656,8.9,Nepal Bilişim,ALİ METİN,İstanbul,Kadıköy,OSMANAĞA MAH. BAŞÇAVUŞ SOKAK EMİNTAŞ İŞ MERKEZİ NO:3/23 KADIKÖY – İSTANBUL
288447,9.9,Şen kardeşler,ABDULHAMİT ŞERO,Diyarbakır,Sur,Cami nebi mahallesi yeni japon pasaji no 14
283680,9.9,tempo iletişim,BÜLENT DURUK,İstanbul,Gaziosmanpaşa,şemsi paşa mah cengiz topel cad no:2/2
148819,9.4,Bikamera,KAYALAR ELEKTRONİK BİLGİSAYAR SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İstanbul,Fatih,Hobyar mah. Hamidiye cad. Altın han Kat:3 No:108 Sirkeci
390275,9.0,herkeseteknoloji,GÜLŞEN TALİ,Ankara,Etimesgut,"699.sokak Numara 30/1
"
105337,9.9,Herigo Teknoloji,HERİGO TEKNOLOJİ SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ,İstanbul,Fatih,"Hobyar Mah. Hamidiye Cad. Altın Han No:108 Kat:3 34112,Fatih - Sirkeci / İSTANBUL"
644334,8.7,Glory Aksesuar,GÖRKEM YILDIZ,Ankara,Çankaya,hanım eli sokak 35/3 kat 1
455242,9.6,Bimotif,KAYZER ELEKTRONİK TİCARET ANONİM ŞİRKETİ,İstanbul,Üsküdar,ALTUNİZADE MAH. KISIKLI CAD. NO:3/B
209914,8.8,TT DANCE SHOES,TT MAKİNE SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ,İstanbul,Zeytinburnu,MALTEPE MAHALLESİ ÇİFTE HAVUZLAR CADDESİ PRESTİGE İŞ MERKEZİ NO : 27/344 ZEYTİNBURNU İSTANBUL
204858,9.0,RENKLİ PUSET,RENKLİ PUSET TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Bursa,Yıldırım,Duaçınarı Mah. 5.Doğan Sok. No:21/1 İç Kapı No:1 Yıldırım/BURSA
315582,8.4,One Step,SAİM İPEK,İstanbul,Şişli,Halil Rıfat Paşa Mah. Yüzer Havuz Sok. Perpa Ticaret Merkezi B Blok Kat 9 No 1484 Sarı Avlu
490023,9.3,MY SUMMET,HABİBE GİZEM KARADAĞ,İstanbul,Maltepe,İDEALTEPE MAH.ANNELER SOK.DURUKENT ATA APT.C BLOK NO:13 KAT:3 DAİRE:18
756867,9.2,Afşin Kozmetik,HARUN AFŞİN,Diyarbakır,Bağlar,Mevlana halit mah 399.sk akar apt. Altı 6/c Afşin kozmetik ve parfümeri
800013,8.1,UMES AVM,UMUT ESMERAY,İstanbul,Küçükçekmece,Mahalle/Semt:BEŞYOL MAH. Cadde/Sokak:ÇAMLIBEL SK. TEKBAŞ APT No:8 İç Kapı No:5
764667,7.5,TAC Home Design,AHMET TURAN KARTAL,Sivas,Merkez,ALTUNTABAK MAH. ÇİÇEKLİ CAD. 87/A
310850,9.3,Clicktech Pazarlama,CLICKTECH PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Şanlıurfa,Karaköprü,"Doğu kent mahallesi, 1203. sokak Yaşam park sitesi B BLOK No/4"
683006,9.8,Ojijo London,ATLAS HELSE ENERJİ TURİZM KOZMETİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,Ankara,Etimesgut,Mahalle/Semt:YENİ BAĞLICA MAH. Cadde/Sokak:ETİMESGUT BLV. No:6 BB
117925,8.4,Teknoloji Gelsin,TEKNOLOJİ GELSİN E TİCARET PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İstanbul,Esenler,Oruçreis Mah. Giyimkent 18. Sok No:24 B194 Blok Esenler/İSTANBUL
380340,9.5,Kitaplı Hediye,TAHİRE UYAR,Konya,Selçuklu,ESKİ SİLLE CADDESİ NO:62/A SELÇUKLU KONYA  KİTAPLI HEDİYE
107961,9.1,Pimarketim,BERNAR LOJİSTİK TAŞIMACILIK VE DIŞ TİCARET SANAYİ TİCARET LİMİTED ŞİRKETİ,İstanbul,Pendik,BEYDAGI SOKAK YENISEHIR PETEKKENT CAMI BLOK NO:3A
2144,8.8,37NUMARA,ERDAL SALTIK,İstanbul,Kadıköy,Bostanci mah. Mehmet şevki pasa cad. No:24:1
107514,9.4,Neutron Türkiye,DOĞANSAN BİLİŞİM TEKNOLOJİLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İstanbul,Şişli,Halil Rıfat Paşa Mah. Yüzer Havuz Sk. Perpa Ticaret Merkezi B blok Kat 2 No.46   Şişli/İstanbul
706341,9.4,Nur Ortopedi Medikal Giyim,NUR ORTOPEDİ MEDİKAL GİYİM ANONİM ŞİRKETİ,İzmir,Torbalı,ZEKİ ÖZTAŞ CAD. No:33/1A
159336,9.3,teknoloji burada,ERDEM EV ALETLERİ TİCARET PAZARLAMA LİMİTED ŞİRKETİ,Sakarya,Geyve,CAMİKEBİR MAH. MEHMET BALKAN SOKAK NO:7
137506,9.6,cepkom,ERECE ELEKTRONİK SANAYİ TİCARET LİMİTED ŞİRKETİ,İstanbul,Küçükçekmece,CENNET MAH ZAFER SK HİSAR APT NO23/28
635839,9.5,Doğansan Bilişim,DOĞANSAN BİLİŞİM TEKNOLOJİLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İstanbul,Şişli,Halil Rıfat Paşa Mah. Yüzer Havuz Sk. Perpa Ticaret Merkezi B blok Kat 2 No.46 Şişli/İstanbul
790970,9.1,MEDICALIUM,MEDICALIUM SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İstanbul,Esenler,Mahalle/Semt:ORUÇREİS MAH. Cadde/Sokak:TEKSTİLKENT CAD. TEKSTİLKENT A18 BLOK No:10 L İç Kapı No:106
794365,9.8,Neutron,NEUTRON GÜVENLİK TEKNOLOJİLERİ ANONİM ŞİRKETİ,İstanbul,Kağıthane,Mahalle/Semt:TALATPAŞA MAH. Cadde/Sokak:AKÇALI SK. No:2 İç Kapı No:1
